date,hospital_id,hospital_name,medicine_name,opening_stock,received,issued,closing_stock,lead_time_days,min_stock_level
2024-12-08,H001,City General Hospital,Paracetamol 500mg,500,0,45,455,3,100
2024-12-08,H001,City General Hospital,Amoxicillin 250mg,300,0,25,275,5,80
2024-12-08,H001,City General Hospital,Ibuprofen 400mg,200,0,30,170,3,60
2024-12-08,H001,City General Hospital,Insulin Injection,150,0,10,140,7,50
2024-12-08,H001,City General Hospital,Metformin 500mg,400,0,35,365,4,100
2024-12-08,H001,City General Hospital,Aspirin 75mg,350,0,28,322,3,90
2024-12-08,H001,City General Hospital,Omeprazole 20mg,280,0,22,258,4,70
2024-12-08,H001,City General Hospital,Atorvastatin 10mg,220,0,18,202,5,60
2024-12-08,H001,City General Hospital,Ceftriaxone 1g Injection,180,0,15,165,7,40
2024-12-08,H001,City General Hospital,Ciprofloxacin 500mg,250,0,20,230,4,80
2024-12-08,H002,Riverside Medical Center,Paracetamol 500mg,600,0,50,550,3,100
2024-12-08,H002,Riverside Medical Center,Amoxicillin 250mg,250,0,30,220,5,80
2024-12-08,H002,Riverside Medical Center,Ibuprofen 400mg,180,0,25,155,3,60
2024-12-08,H002,Riverside Medical Center,Insulin Injection,120,0,12,108,7,50
2024-12-08,H002,Riverside Medical Center,Metformin 500mg,350,0,40,310,4,100
2024-12-08,H002,Riverside Medical Center,Aspirin 75mg,300,0,32,268,3,90
2024-12-08,H002,Riverside Medical Center,Omeprazole 20mg,240,0,25,215,4,70
2024-12-08,H002,Riverside Medical Center,Atorvastatin 10mg,190,0,20,170,5,60
2024-12-08,H002,Riverside Medical Center,Ceftriaxone 1g Injection,150,0,18,132,7,40
2024-12-08,H002,Riverside Medical Center,Ciprofloxacin 500mg,220,0,22,198,4,80
2024-12-08,H003,Metro District Hospital,Paracetamol 500mg,450,0,42,408,3,100
2024-12-08,H003,Metro District Hospital,Amoxicillin 250mg,280,0,28,252,5,80
2024-12-08,H003,Metro District Hospital,Ibuprofen 400mg,160,0,27,133,3,60
2024-12-08,H003,Metro District Hospital,Insulin Injection,140,0,11,129,7,50
2024-12-08,H003,Metro District Hospital,Metformin 500mg,380,0,38,342,4,100
2024-12-08,H003,Metro District Hospital,Aspirin 75mg,320,0,30,290,3,90
2024-12-08,H003,Metro District Hospital,Omeprazole 20mg,260,0,24,236,4,70
2024-12-08,H003,Metro District Hospital,Atorvastatin 10mg,200,0,19,181,5,60
2024-12-08,H003,Metro District Hospital,Ceftriaxone 1g Injection,160,0,16,144,7,40
2024-12-08,H003,Metro District Hospital,Ciprofloxacin 500mg,240,0,21,219,4,80
2024-12-09,H001,City General Hospital,Paracetamol 500mg,455,0,48,407,3,100
2024-12-09,H001,City General Hospital,Amoxicillin 250mg,275,0,28,247,5,80
2024-12-09,H001,City General Hospital,Ibuprofen 400mg,170,0,32,138,3,60
2024-12-09,H001,City General Hospital,Insulin Injection,140,0,11,129,7,50
2024-12-09,H001,City General Hospital,Metformin 500mg,365,0,38,327,4,100
2024-12-09,H001,City General Hospital,Aspirin 75mg,322,0,29,293,3,90
2024-12-09,H001,City General Hospital,Omeprazole 20mg,258,0,23,235,4,70
2024-12-09,H001,City General Hospital,Atorvastatin 10mg,202,0,19,183,5,60
2024-12-09,H001,City General Hospital,Ceftriaxone 1g Injection,165,0,16,149,7,40
2024-12-09,H001,City General Hospital,Ciprofloxacin 500mg,230,0,21,209,4,80
2024-12-09,H002,Riverside Medical Center,Paracetamol 500mg,550,0,52,498,3,100
2024-12-09,H002,Riverside Medical Center,Amoxicillin 250mg,220,0,32,188,5,80
2024-12-09,H002,Riverside Medical Center,Ibuprofen 400mg,155,0,28,127,3,60
2024-12-09,H002,Riverside Medical Center,Insulin Injection,108,0,13,95,7,50
2024-12-09,H002,Riverside Medical Center,Metformin 500mg,310,0,42,268,4,100
2024-12-09,H002,Riverside Medical Center,Aspirin 75mg,268,0,33,235,3,90
2024-12-09,H002,Riverside Medical Center,Omeprazole 20mg,215,0,26,189,4,70
2024-12-09,H002,Riverside Medical Center,Atorvastatin 10mg,170,0,21,149,5,60
2024-12-09,H002,Riverside Medical Center,Ceftriaxone 1g Injection,132,0,19,113,7,40
2024-12-09,H002,Riverside Medical Center,Ciprofloxacin 500mg,198,0,23,175,4,80
2024-12-09,H003,Metro District Hospital,Paracetamol 500mg,408,0,44,364,3,100
2024-12-09,H003,Metro District Hospital,Amoxicillin 250mg,252,0,29,223,5,80
2024-12-09,H003,Metro District Hospital,Ibuprofen 400mg,133,0,29,104,3,60
2024-12-09,H003,Metro District Hospital,Insulin Injection,129,0,12,117,7,50
2024-12-09,H003,Metro District Hospital,Metformin 500mg,342,0,39,303,4,100
2024-12-09,H003,Metro District Hospital,Aspirin 75mg,290,0,31,259,3,90
2024-12-09,H003,Metro District Hospital,Omeprazole 20mg,236,0,25,211,4,70
2024-12-09,H003,Metro District Hospital,Atorvastatin 10mg,181,0,20,161,5,60
2024-12-09,H003,Metro District Hospital,Ceftriaxone 1g Injection,144,0,17,127,7,40
2024-12-09,H003,Metro District Hospital,Ciprofloxacin 500mg,219,0,22,197,4,80
2024-12-10,H001,City General Hospital,Paracetamol 500mg,407,200,50,557,3,100
2024-12-10,H001,City General Hospital,Amoxicillin 250mg,247,0,26,221,5,80
2024-12-10,H001,City General Hospital,Ibuprofen 400mg,138,0,35,103,3,60
2024-12-10,H001,City General Hospital,Insulin Injection,129,0,9,120,7,50
2024-12-10,H001,City General Hospital,Metformin 500mg,327,0,36,291,4,100
2024-12-10,H001,City General Hospital,Aspirin 75mg,293,0,30,263,3,90
2024-12-10,H001,City General Hospital,Omeprazole 20mg,235,0,24,211,4,70
2024-12-10,H001,City General Hospital,Atorvastatin 10mg,183,0,18,165,5,60
2024-12-10,H001,City General Hospital,Ceftriaxone 1g Injection,149,0,15,134,7,40
2024-12-10,H001,City General Hospital,Ciprofloxacin 500mg,209,0,20,189,4,80
2024-12-10,H002,Riverside Medical Center,Paracetamol 500mg,498,0,55,443,3,100
2024-12-10,H002,Riverside Medical Center,Amoxicillin 250mg,188,0,29,159,5,80
2024-12-10,H002,Riverside Medical Center,Ibuprofen 400mg,127,0,30,97,3,60
2024-12-10,H002,Riverside Medical Center,Insulin Injection,95,0,14,81,7,50
2024-12-10,H002,Riverside Medical Center,Metformin 500mg,268,0,45,223,4,100
2024-12-10,H002,Riverside Medical Center,Aspirin 75mg,235,0,34,201,3,90
2024-12-10,H002,Riverside Medical Center,Omeprazole 20mg,189,0,27,162,4,70
2024-12-10,H002,Riverside Medical Center,Atorvastatin 10mg,149,0,22,127,5,60
